Brand,Model,Type,Cell tech,Pmax_STC_W,Voc_V,Vmp_V,Imp_A,Isc_A,TempCoeff_Pmax_%/C,TempCoeff_Voc_%/C,TempCoeff_Isc_%/C,Max_system_voltage_V,Max_series_fuse_A,Dimensions_mm,Weight_kg,Notes,Primary_source,Popularity_rank_ecoflow_community,Popularity_top10_ecoflow_community,Popularity_evidence,Voc_temp_coeff_missing,Voc_0C_V,Voc_-20C_V,Voc_-25C_V,EcoFlow_compatibility,Voc_safety_basis,Voc_safety_V,MaxSeries_60V,Headroom_60V_V,SinglePanelMargin_60V_V,MaxSeries_150V,Headroom_150V_V,SinglePanelMargin_150V_V,MaxSeries_450V,Headroom_450V_V,SinglePanelMargin_450V_V,MaxSeries_500V,Headroom_500V_V,SinglePanelMargin_500V_V,MinSeries_for_80Vmp,MinSeries_Vmp_total_V,MinSeries_Voc_total_V,SeriesRange_DPU_High_450V,SeriesRange_DPUX_High_500V,MinSeries_fits_450V,MinSeries_fits_500V
JJN Solar,400W N-Type Bifacial Solar Panel,"Rigid, bifacial","Monocrystalline silicon, N-type, 16BB",400,37,31.05,12.89,13.78,,,,1500,25,1722×1135×30.5,21.45,Specs from JJN product page; temp coefficients not provided; use conservative cold-weather design margin.,https://jjnsolar.com/products/400w-n-type-bifacial-solar-panel,,,User-reported deployed panel in EcoFlow setup (DPU low PV).,True,39.775,41.995,42.55,D3 Max 11–60V/13A: YES | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥3S (max 10S) | DPU‑X High 80–500V/15A: needs ≥3S (max 11S),Voc@STC,37,1,23,23,4,2,113,10,80,413,11,93,463,3,93.15,111,3S–10S,3S–11S,1,1
Jinko Solar,JKM460M-7RL3-TV (Jinko Eagle 460W Bifacial),Bifacial (Dual glass),"Mono, 156 half-cells",460,51.9,43.32,10.62,11.35,-0.35,-0.25,0.045,1500.0,20.0,2205×1032×40,26.5,Signature Solar listing provides Voc/Isc and dimensions; full STC electrical table + temp coefficients require the linked spec sheet PDF (ImageRelay download). Specs extracted from Jinko datasheet; verify cell chemistry (PERC vs TOPCon) if needed.,signaturesolar.com Jinko Eagle 460W product page,,,,False,55.14375,57.73875,58.3875,D3 Max 11–60V/13A: YES | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥2S (max 7S) | DPU‑X High 80–500V/15A: needs ≥2S (max 8S),Voc@-25C,58.3875,1,1.6124999999999972,1.6124999999999972,2,33.224999999999994,91.6125,7,41.287499999999966,391.6125,8,32.89999999999998,441.6125,2,86.64,116.775,2S–7S,2S–8S,1.0,1.0
Maxeon,SPR-MAX6-440,"Monofacial, glass/backsheet (IBC)","Monocrystalline IBC (Maxeon Gen 6), 66 cells",440,48.2,40.5,10.87,11.58,-0.29,-0.239,0.057,1000.0,20.0,1872×1032×40,20.9,Replaced unverified MAX5 row with official Maxeon 6 DC 440W datasheet values.,Maxeon 6 DC 425–440 W datasheet PDF (Publication date: March 2024).,9.0,1.0,Used by some EcoFlow owners as a premium third‑party panel.,False,51.07995,53.38391000000001,53.9599,D3 Max 11–60V/13A: YES | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥2S (max 8S) | DPU‑X High 80–500V/15A: needs ≥2S (max 9S),Voc@-25C,53.9599,1,6.0401000000000025,6.0401000000000025,2,42.080200000000005,96.0401,8,18.32080000000002,396.0401,9,14.360900000000015,446.0401,2,81.0,107.9198,2S–8S,2S–9S,1.0,1.0
Phono Solar,PS590M8GF-24/TNH,"Bifacial, dual-glass","N-type TOPCon, half-cut (144 cells)",590,52.58,44.63,13.22,14.33,-0.29,-0.25,0.045,1500.0,30.0,2278×1134×30,31.5,STC values for 590W bin.,Phono Solar PS590M8GF-24/TNH datasheet (parsed text),,0.0,,False,55.86625,58.49525,59.1525,D3 Max 11–60V/13A: YES (current clip likely) | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥2S (max 7S) | DPU‑X High 80–500V/15A: needs ≥2S (max 8S),Voc@-25C,59.1525,1,0.8474999999999966,0.8474999999999966,2,31.694999999999993,90.8475,7,35.932500000000005,390.84749999999997,8,26.779999999999973,440.84749999999997,2,89.26,118.305,2S–7S,2S–8S,1.0,1.0
Renogy,590W N-Type Bifacial (dual glass),"Bifacial, dual-glass",N-type (TOPCon family),590,52.63,43.71,13.5,14.13,-0.32,-0.26,0.046,1500.0,30.0,2278×1134×35,26.5,Values confirmed from Renogy RSP590DCT-144 datasheet (PDF).,Renogy RSP590DCT-144 datasheet PDF (Home Depot static PDF),,0.0,,False,56.05095,58.78771,59.4719,D3 Max 11–60V/13A: YES (current clip likely) | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥2S (max 7S) | DPU‑X High 80–500V/15A: needs ≥2S (max 8S),Voc@-25C,59.4719,1,0.528100000000002,0.528100000000002,2,31.056200000000004,90.5281,7,33.69670000000002,390.5281,8,24.224800000000016,440.5281,2,87.42,118.9438,2S–7S,2S–8S,1.0,1.0
Renogy,RSP450DT-120,"Monofacial, glass/backsheet","Mono PERC, 120 half-cut (6×20)",450,41.25,34.67,12.98,13.89,-0.35,-0.26,0.05,1500.0,30.0,1909×1134×35,23.1,Renogy 450W module electrical/thermal/physical specs pulled from datasheet PDF.,Renogy RSP450DT-120 datasheet PDF.,8.0,1.0,Mentioned by EcoFlow users as a higher-power third‑party rigid panel option.,False,43.93125,46.07625,46.6125,D3 Max 11–60V/13A: YES | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥3S (max 9S) | DPU‑X High 80–500V/15A: needs ≥3S (max 10S),Voc@-25C,46.6125,1,13.387500000000003,13.387500000000003,3,10.162500000000023,103.3875,9,30.48750000000001,403.3875,10,33.875,453.3875,3,104.01,139.83749999999998,3S–9S,3S–10S,1.0,1.0
Rich Solar,MEGA 250 (RS-M250),"Rigid, monofacial","Monocrystalline, 64 cells (182×91 mm)",250,22.8,18.9,13.2,13.7,-0.39,-0.29,0.05,1500.0,20.0,1540×760×30,12.2,Rich Solar MEGA 250 spec sheet. Appears as an option in Off Grid Stores EcoFlow DELTA Pro Ultra custom solar bundle page.,Rich Solar RS-M250 datasheet; OffGridStores DPU kit page,,0.0,,False,24.453,25.7754,26.106,D3 Max 11–60V/13A: YES (current clip likely) | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: NO | DPU Low 30–150V/15A: NO | DPU High 80–450V/15A: needs ≥5S (max 17S) | DPU‑X High 80–500V/15A: needs ≥5S (max 19S),Voc@-25C,26.106,2,7.787999999999997,33.894,5,19.47,123.894,17,6.197999999999979,423.894,19,3.98599999999999,473.894,5,94.5,130.53,5S–17S,5S–19S,1.0,1.0
Rich Solar,MEGA 335 PRO (RS-M335P),"Rigid, monofacial","Monocrystalline, 96 cells (210×70 mm)",335,36.9,29.2,11.5,11.8,-0.39,-0.29,0.05,1500.0,20.0,1760×880×30,15.9,Rich Solar MEGA 335 PRO datasheet. Appears as an option in Off Grid Stores EcoFlow DELTA Pro Ultra custom solar bundle page.,Rich Solar RS-M335P datasheet; OffGridStores DPU kit page,,0.0,,False,39.57525,41.71545,42.2505,D3 Max 11–60V/13A: YES | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: NO | DPU Low 30–150V/15A: NO | DPU High 80–450V/15A: needs ≥3S (max 10S) | DPU‑X High 80–500V/15A: needs ≥3S (max 11S),Voc@-25C,42.2505,1,17.749499999999998,17.749499999999998,3,23.248499999999993,107.7495,10,27.495000000000005,407.7495,11,35.24449999999996,457.7495,3,87.6,126.75150000000001,3S–10S,3S–11S,1.0,1.0
Rich Solar,MEGA 400 (RS-M400),"Rigid, monofacial","Monocrystalline, 108 cells (182×91 mm)",400,37.1,31.0,12.9,13.7,-0.34,-0.26,0.045,1500.0,25.0,1722×1134×30,20.5,Rich Solar MEGA 400 spec sheet (also covers 410W variant). Offered as a selectable panel bundle option with EcoFlow DELTA Pro Ultra kits by Off Grid Stores; also used in Outbound Power DPU 'Deluxe' kits.,Rich Solar RS-M400/410 datasheet; OffGridStores DPU kit page,,0.0,,False,39.5115,41.4407,41.923,D3 Max 11–60V/13A: YES | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥3S (max 10S) | DPU‑X High 80–500V/15A: needs ≥3S (max 11S),Voc@-25C,41.923,1,18.076999999999998,18.076999999999998,3,24.230999999999995,108.077,10,30.769999999999982,408.077,11,38.84699999999998,458.077,3,93.0,125.769,3S–10S,3S–11S,1.0,1.0
Runergy,HY-DH144N8-595,"Bifacial, dual-glass","N-type monocrystalline (TOPCon), 144 half-cells (182 mm)",595,52.58,44.64,13.33,13.93,-0.29,-0.25,0.045,1500.0,30.0,2278×1134×35,40.5,"Dual-glass (thicker/heavier); good cold-weather voltage headroom.; EcoFlow match: Imp 13.33A vs 15A limit; STC series limit ~8S (DPU 450V), ~9S (DPU‑X 500V).",US Solar Supplier product page; Runergy datasheet (via US Solar Supplier PDF),,0.0,,False,55.86625,58.49525,59.1525,D3 Max 11–60V/13A: YES (current clip likely) | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥2S (max 7S) | DPU‑X High 80–500V/15A: needs ≥2S (max 8S),Voc@-25C,59.1525,1,0.8474999999999966,0.8474999999999966,2,31.694999999999993,90.8475,7,35.932500000000005,390.84749999999997,8,26.779999999999973,440.84749999999997,2,89.28,118.305,2S–7S,2S–8S,1.0,1.0
Seraphim,"SRP-440-BTD-BG (Nebula, N-type bifacial)","Rigid, bifacial","N-type TOPCon, bifacial",440,39.72,33.35,13.2,14.11,-0.29,,,1500.0,25.0,1722×1134×30,24.2,From US Solar Supplier product page. Voc temp coefficient not listed in the snippet we captured.,ussolarsupplier.com Seraphim 440W product page (datasheet link on page),,,,True,42.699,45.082,45.678,D3 Max 11–60V/13A: YES (current clip likely) | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥3S (max 11S) | DPU‑X High 80–500V/15A: needs ≥3S (max 12S) | Note: Voc temperature coefficient missing → cold‑weather voltage margin unknown.,Voc@STC,39.72,1,20.28,20.28,3,30.840000000000003,110.28,11,13.080000000000041,410.28,12,23.360000000000014,460.28,3,100.05000000000001,119.16,3S–11S,3S–12S,1.0,1.0
ShopSolarKits (house/kit panel),200W Rigid Solar Panel (used in EcoFlow kits),Monofacial rigid,Mono (likely PERC),200,24.9,20.8,9.62,10.16,,,,,,1490×670×35,11.2,Great match for Delta 2 / Delta 2 Max / Delta 3 Max (low Voc & Isc). Two in series likely exceeds 60V Voc in cold—size strings carefully.,ShopSolarKits product page spec table,,,,True,26.643,28.037,28.386,D3 Max 11–60V/13A: YES | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: NO | DPU Low 30–150V/15A: NO | DPU High 80–450V/15A: needs ≥4S (max 18S) | DPU‑X High 80–500V/15A: needs ≥4S (max 20S) | Note: Voc temperature coefficient missing → cold‑weather voltage margin unknown.,Voc@STC,24.9,2,10.200000000000003,35.1,6,0.6000000000000227,125.1,18,1.8000000000000114,425.1,20,2.0,475.1,4,83.2,99.6,4S–18S,4S–20S,1.0,1.0
Silfab,SIL-530 XM (HC Bifacial),Bifacial (double glass),N-type (TOPCon) bifacial,530,47.74,41.05,12.91,13.71,-0.29,-0.24,0.04,1500.0,30.0,2098×1133×35,26.2,Single module stays within 60V Voc; Isc 13.71A (OK for Delta 2 / Delta 2 Max; exceeds Delta 3 Max 13A limit).,US Solar Supplier product page + Silfab datasheet,,,,False,50.604400000000005,52.89592,53.46880000000001,D3 Max 11–60V/13A: YES | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥2S (max 8S) | DPU‑X High 80–500V/15A: needs ≥2S (max 9S),Voc@-25C,53.46880000000001,1,6.531199999999991,6.531199999999991,2,43.06239999999998,96.53119999999998,8,22.24959999999993,396.5312,9,18.780799999999942,446.5312,2,82.1,106.93760000000002,2S–8S,2S–9S,1.0,1.0
SolarSpace,SS8-72HD-580N,"Bifacial, dual-glass","N-type TOPCon, half-cell",580,54.09,44.39,13.07,13.71,-0.29,-0.24,0.045,1500.0,30.0,2278×1134×30,31.8,Values from SolarSpace SS8-72HD-N family datasheet; 580N bin used.,SolarSpace SS8-72HD-N datasheet (parsed text),,0.0,,False,57.33540000000001,59.931720000000006,60.58080000000001,D3 Max 11–60V/13A: NO | D2/D2 Max 11–60V/15A: NO | D3 Ultra+ 11–60V/18A: NO | DP3 LV 11–60V/20A: NO | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥2S (max 7S) | DPU‑X High 80–500V/15A: needs ≥2S (max 8S),Voc@-25C,60.58080000000001,0,60.0,-0.5808000000000106,2,28.83839999999998,89.41919999999999,7,25.934399999999926,389.4192,8,15.353599999999915,439.4192,2,88.78,121.16160000000002,2S–7S,2S–8S,1.0,1.0
Sunpro Power,SPDG550-144M10,Bifacial (dual-glass),"Monocrystalline PERC, half-cell (144)",550,49.9,41.96,13.11,14.0,-0.34,-0.275,0.04,1500.0,25.0,2279×1134×35,34.0,STC values from Sunpro datasheet.,Sunpro SPDG550-144M10 datasheet (parsed text),,0.0,,False,53.330625000000005,56.075125,56.76125,D3 Max 11–60V/13A: YES (current clip likely) | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥2S (max 7S) | DPU‑X High 80–500V/15A: needs ≥2S (max 8S),Voc@-25C,56.76125,1,3.238750000000003,3.238750000000003,2,36.477500000000006,93.23875000000001,7,52.67125000000004,393.23875,8,45.910000000000025,443.23875,2,83.92,113.5225,2S–7S,2S–8S,1.0,1.0
TW Solar (Tongwei),500W N-Type Bifacial (TWMNH-54HD500 family),"Bifacial, dual-glass","N-type TOPCon, half-cell",500,40.06,33.7,14.84,15.89,-0.28,-0.24,0.046,1500.0,30.0,1961×1134×30,26.5,Values from Tongwei/TW Solar 500–520W 108-half-cell bifacial datasheet; 500W bin shown.,TW Solar (Tongwei) 500–520W datasheet (parsed text),,0.0,,False,42.46360000000001,44.386480000000006,44.8672,D3 Max 11–60V/13A: YES (current clip likely) | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥3S (max 10S) | DPU‑X High 80–500V/15A: needs ≥3S (max 11S),Voc@-25C,44.8672,1,15.132800000000003,15.132800000000003,3,15.39840000000001,105.1328,10,1.3280000000000314,405.1328,11,6.460800000000063,455.1328,3,101.10000000000001,134.6016,3S–10S,3S–11S,1.0,1.0
Thornova Solar,TS-BGT66(620)-G11,"Bifacial, dual-glass","N-type monocrystalline, 132 cells (182×210 mm)",620,49.6,41.22,15.03,15.92,-0.29,-0.28,0.04,1500.0,30.0,2382×1134×35,32.5,"Tier 1 (per retailer); bifaciality 80%±10; very near EcoFlow 15A limit.; EcoFlow match: Imp 15.03A slightly >15A limit (expect minor current clipping); STC series limit ~9S (DPU 450V), ~10S (DPU‑X 500V).",US Solar Supplier product page; Thornova TS-BGT66(600-620)-G11 datasheet (via US Solar Supplier PDF),,0.0,,False,53.072,55.84960000000001,56.54400000000001,D3 Max 11–60V/13A: YES (current clip likely) | D2/D2 Max 11–60V/15A: YES (current clip likely) | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES (current clip likely) | DP3 HV 30–150V/15A: YES (current clip likely) | DPU Low 30–150V/15A: YES (current clip likely) | DPU High 80–450V/15A: needs ≥2S (max 7S) | DPU‑X High 80–500V/15A: needs ≥2S (max 8S),Voc@-25C,56.54400000000001,1,3.455999999999989,3.455999999999989,2,36.91199999999998,93.45599999999999,7,54.191999999999894,393.456,8,47.64799999999991,443.456,2,82.44,113.08800000000002,2S–7S,2S–8S,1.0,1.0
Trina Solar,TSM-425NE09RC.05,Bifacial (transparent backsheet),"N-type i-TOPCon monocrystalline, 144 cells (1/3 cut)",425,51.4,43.2,9.84,10.47,-0.29,-0.24,0.04,1500.0,25.0,1762×1134×30,21.3,Verified against Trina Vertex S+ NE09RC.05 datasheet (2024).,Trina Solar Vertex S+ NE09RC.05 datasheet PDF (2024).,10.0,1.0,Trina Vertex S+ modules appear in EcoFlow community installs.,False,54.484,56.9512,57.568000000000005,D3 Max 11–60V/13A: YES | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥2S (max 7S) | DPU‑X High 80–500V/15A: needs ≥2S (max 8S),Voc@-25C,57.568000000000005,1,2.431999999999995,2.431999999999995,2,34.86399999999999,92.43199999999999,7,47.023999999999944,392.432,8,39.45599999999996,442.432,2,86.4,115.13600000000001,2S–7S,2S–8S,1.0,1.0
Trina Solar,TSM-NEG19RC.20 (605W bin),"Bifacial, dual-glass","N-type i-TOPCon monocrystalline, 132 cells",605,48.7,40.5,14.94,15.83,-0.3,-0.24,0.04,1500.0,35.0,2384×1134×30,33.1,"High-tier utility-scale module; bifaciality ~80%±5.; EcoFlow match: Imp 14.94A vs 15A limit; STC series limit ~9S (DPU 450V), ~10S (DPU‑X 500V).",US Solar Supplier product page; Trina datasheet (via US Solar Supplier PDF),,0.0,,False,51.62200000000001,53.95960000000001,54.54400000000001,D3 Max 11–60V/13A: YES (current clip likely) | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥2S (max 8S) | DPU‑X High 80–500V/15A: needs ≥2S (max 9S),Voc@-25C,54.54400000000001,1,5.455999999999989,5.455999999999989,2,40.91199999999998,95.45599999999999,8,13.64799999999991,395.456,9,9.103999999999928,445.456,2,81.0,109.08800000000002,2S–8S,2S–9S,1.0,1.0
Trina Solar,"TSM-NEG19RC.20 (Vertex N 615W, bifacial)","Rigid, bifacial","N-type i-TOPCon, bifacial (dual glass)",615,50.3,42.5,14.48,15.34,-0.29,,,1500.0,30.0,2382×1134×30,32.1,From US Solar Supplier product page. Voc temp coefficient not listed in the snippet we captured.,ussolarsupplier.com Trina 615W product page (datasheet link on page),,,,True,54.072,57.09,57.845,D3 Max 11–60V/13A: YES (current clip likely) | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥2S (max 8S) | DPU‑X High 80–500V/15A: needs ≥2S (max 9S) | Note: Voc temperature coefficient missing → cold‑weather voltage margin unknown.,Voc@STC,50.3,1,9.700000000000003,9.700000000000003,2,49.400000000000006,99.7,8,47.60000000000002,399.7,9,47.30000000000001,449.7,2,85.0,100.6,2S–8S,2S–9S,1.0,1.0
Trina Solar,TSM-NEG9RC.27 (435W bin),"Bifacial, dual-glass","Monocrystalline, 144 cells (Vertex S+ bifacial dual glass)",435,51.8,43.6,9.99,10.64,-0.3,-0.24,0.04,1500.0,25.0,1762×1134×30,21.1,"High-quality, more rooftop-friendly size; connectors MC4 EVO2/TS4 (datasheet note).; EcoFlow match: Imp 9.99A vs 15A limit; STC series limit ~8S (DPU 450V), ~9S (DPU‑X 500V).",Signature Solar product page; Trina Vertex S+ datasheet,,0.0,,False,54.908,57.394400000000005,58.016000000000005,D3 Max 11–60V/13A: YES | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥2S (max 7S) | DPU‑X High 80–500V/15A: needs ≥2S (max 8S),Voc@-25C,58.016000000000005,1,1.9839999999999947,1.9839999999999947,2,33.96799999999999,91.984,7,43.88799999999998,391.984,8,35.87199999999996,441.984,2,87.2,116.03200000000001,2S–7S,2S–8S,1.0,1.0
VSUN,VSUN595N-144BMH-DG,"Bifacial, dual-glass","N-type TOPCon monocrystalline, 144 half-cells",595,52.69,44.71,13.31,13.98,-0.29,-0.24,0.05,1500.0,30.0,2278×1134×35,32.7,"Made/assembled in USA (per retailer listing); bifaciality 80%±10.; EcoFlow match: Imp 13.31A vs 15A limit; STC series limit ~8S (DPU 450V), ~9S (DPU‑X 500V).",US Solar Supplier product page; VSUN datasheet (via US Solar Supplier PDF),,0.0,,False,55.8514,58.38052,59.012800000000006,D3 Max 11–60V/13A: YES (current clip likely) | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥2S (max 7S) | DPU‑X High 80–500V/15A: needs ≥2S (max 8S),Voc@-25C,59.012800000000006,1,0.9871999999999943,0.9871999999999943,2,31.97439999999999,90.9872,7,36.91039999999998,390.9872,8,27.897599999999954,440.9872,2,89.42,118.02560000000001,2S–7S,2S–8S,1.0,1.0
ZNShine,ZXM7-UHLDD108 (ZNShine 440W Bifacial),Bifacial (double glass),N-type TOPCon mono (108 half-cells),440,38.8,32.3,13.63,14.39,-0.3,-0.25,0.046,1500.0,30.0,1722×1134×30,24.5,"Signature Solar listing provides Voc/Isc, dimensions, weight. Full STC table + temp coefficients are in the linked spec sheet PDF (ImageRelay download).",signaturesolar.com ZNShine 440W pallet/product page,,,,False,41.225,43.165,43.65,D3 Max 11–60V/13A: YES (current clip likely) | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥3S (max 10S) | DPU‑X High 80–500V/15A: needs ≥3S (max 11S),Voc@-25C,43.65,1,16.35,16.35,3,19.05000000000001,106.35,10,13.5,406.35,11,19.850000000000023,456.35,3,96.89999999999999,130.95,3S–10S,3S–11S,1.0,1.0
DOKIO,FBA-DSP400M,"Rigid, monofacial",Monocrystalline,400,37,31,12.9,13.78,,,,1500,25,,,ASIN B0DMSM7CPP; listing indicates 31V mono module; electrical values from listing-family spec,https://www.amazon.com/dp/B0DMSM7CPP,,,Amazon's Choice and category rank signal,True,39.59,41.662,42.18,D3 Max 11-60V/13A: YES | D2/D2 Max 11-60V/15A: YES | D3 Ultra+ 11-60V/18A: YES | DP3 LV 11-60V/20A: YES | Delta Pro 11-150V/15A: YES | DP3 HV 30-150V/15A: YES | DPU Low 30-150V/15A: YES | DPU High 80-450V/15A: needs ≥3S (max 10S) | DPU-X High 80-500V/15A: needs ≥3S (max 11S),Voc@-25C,42.18,1,17.82,17.82,3,23.46,107.82,10,28.2,407.82,11,36.02,457.82,3,93,126.54,3S-10S,3S-11S,1.0,1.0
EPOCH,Epoch-400SPP-1-N,"Rigid, bifacial","N-Type, Class A",400,37,31,12.9,13.78,,,,1500,25,,,ASIN B0FBS11363; model Epoch-400SPP-1-N from listing mirror; electrical values conservatively estimated,https://www.amazon.com/dp/B0FBS11363,,,,estimated_from_listing_family,39.775,41.995,42.55,D3 Max 11-60V/13A: YES | D2/D2 Max 11-60V/15A: YES | D3 Ultra+ 11-60V/18A: YES | DP3 LV 11-60V/20A: YES | Delta Pro 11-150V/15A: YES | DP3 HV 30-150V/15A: YES | DPU Low 30-150V/15A: YES | DPU High 80-450V/15A: needs ≥3S (max 10S) | DPU-X High 80-500V/15A: needs ≥3S (max 11S),Voc@-25C,42.55,1,17.45,17.45,3,22.35,107.45,10,24.5,407.45,11,31.95,457.45,3,93,127.65,3S-10S,3S-11S,1.0,1.0
ECO-Baeerss,1820 400W N-Type (B0FMRNKR35),"Rigid, monofacial",N-Type,400,37,31,12.9,13.78,,,,1500,25,,,ASIN B0FMRNKR35; single panel listing; model 1820; electrical values conservatively estimated,https://www.amazon.com/dp/B0FMRNKR35,,,,estimated_from_listing_family,39.59,41.662,42.18,D3 Max 11-60V/13A: YES | D2/D2 Max 11-60V/15A: YES | D3 Ultra+ 11-60V/18A: YES | DP3 LV 11-60V/20A: YES | Delta Pro 11-150V/15A: YES | DP3 HV 30-150V/15A: YES | DPU Low 30-150V/15A: YES | DPU High 80-450V/15A: needs ≥3S (max 10S) | DPU-X High 80-500V/15A: needs ≥3S (max 11S),Voc@-25C,42.18,1,17.82,17.82,3,23.46,107.82,10,28.2,407.82,11,36.02,457.82,3,93,126.54,3S-10S,3S-11S,1.0,1.0
